Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Environmental manager,Entertainment,Decreasing,high,126935.64,PhD,0,8988,8545,24.47,30.4,Australia,42.42
General practice doctor,IT,Increasing,high,148472.85,PhD,6,6117,6700,90.14,34.25,Canada,31.26
Financial manager,Entertainment,Decreasing,high,53316.7,PhD,10,6902,7930,89.49,4.75,Brazil,60.18
Recruitment consultant,Finance,Increasing,high,142473.55,PhD,0,1545,3591,11.33,59.06,Australia,36.33
"Therapist, music",IT,Decreasing,high,129033.91,Bachelor’s Degree,8,5586,8836,49.51,11.21,China,38.24
"Education officer, community",Transportation,Decreasing,high,139704.1,Associate Degree,11,4863,9156,82.09,69.37,Germany,37.53
"Geologist, wellsite",Transportation,Increasing,high,99019.36,Associate Degree,12,2007,9539,47.89,14.76,India,39.71
Community pharmacist,Healthcare,Increasing,high,76828.18,High School,1,1773,8331,22.02,47.5,UK,51.6
Biomedical scientist,Transportation,Decreasing,high,98124.19,Master’s Degree,2,9467,7058,95.54,21.15,Brazil,43.78
Sub,Healthcare,Increasing,high,77667.16,Master’s Degree,19,731,3660,59.03,21.02,Germany,54.61
Graphic designer,Healthcare,Decreasing,high,92779.76,Associate Degree,10,3371,740,17.79,4.57,UK,30.6
Air cabin crew,Entertainment,Increasing,high,93798.86,PhD,0,1943,9255,54.77,2.85,USA,59.85
Human resources officer,Manufacturing,Increasing,high,103957.62,Master’s Degree,8,2523,4802,37.71,3.31,Germany,42.79
Estate agent,Finance,Decreasing,high,113609.83,Master’s Degree,3,5471,1834,70.75,91.82,Canada,53.41
Community education officer,IT,Increasing,high,40232.69,Master’s Degree,8,3743,5575,51.11,68.61,Australia,40.25
Chiropodist,Education,Decreasing,high,85618.22,High School,16,5168,8753,93.16,11.65,Australia,49.23
Management consultant,Education,Increasing,high,112468.4,Master’s Degree,15,5929,3455,2.98,54.47,Germany,70.08
Public relations account executive,Entertainment,Increasing,high,99137.08,Master’s Degree,15,2429,2359,44.54,48.75,Australia,36.71
Local government officer,Entertainment,Increasing,high,58951.91,Master’s Degree,13,8322,9366,82.64,54.01,Australia,32.22
"Engineer, water",Retail,Decreasing,high,147116.96,High School,7,3880,5405,33.39,99.02,Australia,36.15
Clinical embryologist,Education,Increasing,high,73724.97,High School,2,8370,2220,48.28,12.67,Germany,26.85
Chief Financial Officer,IT,Increasing,high,67637.15,Master’s Degree,18,8255,1495,7.35,53.32,Canada,71.88
Careers information officer,Education,Decreasing,high,119859.82,PhD,7,719,6025,33.74,68.32,USA,34.89
Interpreter,Entertainment,Increasing,high,135627.25,High School,15,790,892,86.22,72.06,Brazil,50.35
Conference centre manager,Manufacturing,Increasing,high,67029.22,High School,17,3556,6483,21.98,38.66,India,46.78
Arts development officer,Entertainment,Increasing,high,81938.89,Bachelor’s Degree,17,2032,9803,77.28,78.67,China,57.01
"Therapist, horticultural",Transportation,Increasing,high,132692.83,Bachelor’s Degree,17,7653,1305,78.44,36.11,China,57.83
Counsellor,Entertainment,Decreasing,high,88875.76,Bachelor’s Degree,17,614,3451,57.32,10.44,Germany,70.25
Clinical cytogeneticist,Transportation,Decreasing,high,54347.22,Associate Degree,10,8084,1983,80.84,56.29,China,71.12
"Surveyor, minerals",Education,Increasing,high,48666.82,Bachelor’s Degree,6,5423,7992,67.75,56.6,Canada,52.91
Biomedical scientist,Retail,Increasing,high,110244.47,Bachelor’s Degree,4,7732,9451,43.56,64.8,Australia,62.44
"Designer, industrial/product",Education,Increasing,high,136397.0,High School,9,3209,7723,50.71,85.63,China,28.65
Hydrologist,Manufacturing,Increasing,high,116877.44,Associate Degree,4,1122,6171,11.64,34.98,Canada,63.93
Physiological scientist,Finance,Decreasing,high,132974.07,Master’s Degree,14,8681,8944,96.36,79.69,India,34.63
Contractor,IT,Increasing,high,58219.32,Bachelor’s Degree,19,8370,6463,34.59,67.03,Germany,33.39
"Therapist, occupational",Finance,Decreasing,high,113344.3,Associate Degree,12,6064,6384,90.06,32.02,China,59.55
"Editor, film/video",Retail,Decreasing,high,35851.22,Associate Degree,4,7931,8424,25.94,20.7,USA,45.82
Contractor,Finance,Increasing,high,139970.11,Associate Degree,6,585,7891,11.67,36.17,UK,38.37
Building services engineer,Manufacturing,Increasing,high,138323.98,Bachelor’s Degree,17,7607,7458,45.26,79.94,USA,57.67
Product/process development scientist,IT,Decreasing,high,93565.39,PhD,2,113,2371,70.62,31.47,Australia,68.57
Fisheries officer,IT,Decreasing,high,105700.29,PhD,19,2903,9607,19.94,50.1,USA,46.93
"Engineer, water",Entertainment,Increasing,high,127586.67,Associate Degree,0,8873,8203,20.33,48.47,China,74.5
Chartered certified accountant,Entertainment,Decreasing,high,73436.6,Master’s Degree,0,2828,9552,2.24,15.44,Canada,38.62
"Designer, textile",IT,Increasing,high,145767.05,Bachelor’s Degree,5,9746,8100,76.28,19.7,USA,54.08
Insurance broker,Manufacturing,Decreasing,high,125697.64,PhD,18,6936,917,12.63,19.94,Brazil,39.75
Science writer,Entertainment,Increasing,high,106746.58,Bachelor’s Degree,11,8341,8110,68.37,6.04,India,20.2
Broadcast journalist,IT,Increasing,high,107337.18,Bachelor’s Degree,4,9089,1588,95.84,57.4,USA,63.61
Operations geologist,Finance,Increasing,high,41731.3,Associate Degree,7,4660,6141,3.2,22.56,India,47.41
"Doctor, general practice",Manufacturing,Decreasing,high,142888.98,High School,12,887,5351,20.26,61.53,Brazil,72.99
Solicitor,Transportation,Increasing,high,46438.62,PhD,14,2110,7459,37.07,96.79,Germany,30.5
"Sound technician, broadcasting/film/video",Manufacturing,Decreasing,high,113169.56,Associate Degree,17,8871,7110,32.42,85.89,Germany,36.61
Bookseller,Manufacturing,Increasing,high,79468.21,PhD,9,1561,2922,20.29,51.69,Australia,58.34
"Radiographer, therapeutic",Manufacturing,Increasing,high,102566.24,PhD,0,3659,6777,6.71,69.14,Canada,44.2
Chiropractor,IT,Increasing,high,137758.65,PhD,7,4605,8906,18.96,53.11,USA,58.94
"Investment banker, operational",Transportation,Increasing,high,86191.01,High School,15,1566,5140,72.18,93.32,India,40.56
Soil scientist,Transportation,Decreasing,high,113779.95,High School,8,6729,5839,67.76,45.11,USA,63.36
"Social research officer, government",Manufacturing,Decreasing,high,85696.2,Associate Degree,10,8436,8952,27.03,71.28,Brazil,63.86
Local government officer,Finance,Decreasing,high,78512.43,Associate Degree,13,1603,3459,26.48,27.37,Canada,37.38
Publishing rights manager,Manufacturing,Decreasing,high,70239.34,Bachelor’s Degree,10,8256,3828,2.91,89.47,India,49.12
Engineering geologist,Education,Decreasing,high,89135.16,PhD,18,1907,7741,43.12,15.85,USA,64.76
Mudlogger,Healthcare,Increasing,high,124221.43,Master’s Degree,1,8762,1523,17.68,90.63,Australia,70.69
Community education officer,IT,Decreasing,high,87377.53,PhD,8,5395,4805,65.89,40.78,China,25.53
Publishing rights manager,Retail,Increasing,high,71105.94,Master’s Degree,2,6894,584,81.57,38.44,China,28.63
Charity fundraiser,Manufacturing,Increasing,high,79220.52,Master’s Degree,3,7430,6299,28.19,61.32,USA,61.84
Armed forces operational officer,Healthcare,Increasing,high,126326.54,Master’s Degree,9,2727,5967,18.79,50.18,Canada,36.29
Agricultural consultant,Transportation,Increasing,high,32819.44,Associate Degree,9,8524,2634,25.26,70.13,India,65.31
Personal assistant,Healthcare,Decreasing,high,57573.11,PhD,1,4711,8333,66.68,50.29,Australia,64.83
Contractor,Transportation,Increasing,high,103537.8,Associate Degree,20,2498,8035,77.28,3.84,Germany,45.93
Sales executive,Retail,Decreasing,high,107059.51,Associate Degree,8,7283,1180,65.51,48.8,China,59.21
Health and safety adviser,Healthcare,Decreasing,high,81383.11,PhD,20,246,8740,2.0,61.09,India,34.14
Higher education careers adviser,Finance,Increasing,high,89921.65,Associate Degree,0,2032,8020,5.79,74.98,Canada,65.84
Dispensing optician,Healthcare,Increasing,high,118258.12,Bachelor’s Degree,15,6670,7932,67.24,94.21,Australia,48.06
Medical secretary,Transportation,Increasing,high,125613.63,Master’s Degree,19,5178,8381,22.16,59.69,India,62.84
"Teacher, secondary school",Healthcare,Increasing,high,145040.04,Bachelor’s Degree,15,9148,4245,69.36,15.92,China,33.64
Radio producer,Transportation,Increasing,high,101903.13,Associate Degree,9,1343,6067,25.05,23.59,China,78.83
"Chemist, analytical",Healthcare,Decreasing,high,114045.91,Associate Degree,20,872,4432,80.32,61.75,China,44.68
Cytogeneticist,Retail,Decreasing,high,89069.22,High School,5,8216,3870,54.01,20.15,USA,45.83
Museum/gallery curator,Finance,Increasing,high,73591.46,Master’s Degree,14,1219,8120,87.39,95.6,UK,75.75
Facilities manager,Entertainment,Decreasing,high,41190.38,Bachelor’s Degree,8,7345,3543,44.0,49.74,UK,39.94
"Production designer, theatre/television/film",Transportation,Increasing,high,98419.82,Bachelor’s Degree,2,9975,4069,39.0,98.79,USA,21.19
"Education officer, community",Education,Decreasing,high,114027.93,PhD,5,7077,7484,15.46,68.19,Germany,38.6
"Psychologist, prison and probation services",Entertainment,Decreasing,high,84916.44,Bachelor’s Degree,3,3645,5061,29.68,68.57,Australia,44.29
"Engineer, building services",Healthcare,Decreasing,high,120463.12,High School,2,222,3795,76.76,35.28,USA,62.7
"Education officer, community",Transportation,Increasing,high,38464.84,Associate Degree,6,8611,8671,49.69,78.29,Canada,60.36
"Radiographer, therapeutic",Healthcare,Decreasing,high,55992.13,Associate Degree,17,397,7758,32.13,88.15,India,33.22
Architect,Finance,Increasing,high,50939.01,Master’s Degree,1,8646,2629,72.34,40.01,Brazil,76.69
"Administrator, charities/voluntary organisations",Manufacturing,Decreasing,high,81860.64,PhD,18,2831,6460,56.02,81.53,Germany,20.78
Contractor,Manufacturing,Increasing,high,40539.59,High School,18,3019,4449,88.0,95.3,Australia,54.86
Ranger/warden,Healthcare,Increasing,high,75728.36,Bachelor’s Degree,6,6658,7149,20.58,61.47,Australia,39.14
"Psychologist, clinical",IT,Decreasing,high,126048.53,High School,5,8452,1715,37.43,60.4,Canada,55.15
Editorial assistant,Retail,Increasing,high,59026.74,High School,20,780,7088,57.88,70.7,Canada,61.88
Video editor,Manufacturing,Decreasing,high,83645.94,Bachelor’s Degree,0,628,5864,23.54,81.23,India,27.42
Clothing/textile technologist,Education,Increasing,high,85199.23,Bachelor’s Degree,13,5342,3984,6.07,47.78,Germany,32.33
Oncologist,Entertainment,Increasing,high,68003.08,Associate Degree,7,2442,4699,97.01,96.74,China,67.96
Medical sales representative,Finance,Decreasing,high,94266.41,Master’s Degree,0,8702,2723,24.29,88.33,India,38.56
"Administrator, sports",Manufacturing,Decreasing,high,40964.78,Master’s Degree,13,3645,2980,16.94,59.22,Canada,77.16
"Teacher, special educational needs",Education,Decreasing,high,140727.56,High School,11,8919,373,57.98,19.54,India,20.06
Video editor,Healthcare,Increasing,high,122188.2,High School,0,366,4093,32.45,62.96,India,70.38
Records manager,Retail,Increasing,high,142961.27,PhD,12,4448,6394,35.6,13.69,India,29.73
Firefighter,Entertainment,Decreasing,high,140554.51,High School,13,5167,9048,13.48,11.05,Brazil,61.3
"Exhibitions officer, museum/gallery",Education,Decreasing,high,137764.56,PhD,14,4942,785,27.63,71.19,Australia,71.71
Financial manager,Healthcare,Decreasing,high,30936.97,Associate Degree,20,5637,6813,11.77,35.56,Brazil,52.21
Toxicologist,Transportation,Decreasing,high,98874.91,High School,17,5911,1159,95.82,61.88,UK,76.53
Radiation protection practitioner,Manufacturing,Increasing,high,68691.08,PhD,15,2254,7449,11.57,20.66,India,70.96
Chief Operating Officer,Healthcare,Increasing,high,148123.24,Bachelor’s Degree,9,2930,5347,85.13,99.63,UK,59.65
"Secretary, company",Education,Increasing,high,55842.61,Associate Degree,10,985,1286,84.14,13.39,China,56.04
Garment/textile technologist,Manufacturing,Decreasing,high,48010.9,Associate Degree,0,4613,2963,70.04,75.97,Brazil,38.1
Herbalist,Manufacturing,Decreasing,high,142663.04,PhD,10,1049,527,39.8,77.87,China,75.7
Ceramics designer,Retail,Increasing,high,37697.82,Bachelor’s Degree,7,6512,3267,32.98,80.12,Australia,23.08
Science writer,Education,Decreasing,high,107062.29,Master’s Degree,6,639,3631,41.29,19.3,UK,57.16
Writer,Healthcare,Decreasing,high,144731.3,PhD,20,956,3718,83.33,8.85,India,48.72
"Sales professional, IT",Transportation,Decreasing,high,140858.59,Master’s Degree,1,6629,7196,85.92,97.97,USA,62.91
Tree surgeon,Retail,Decreasing,high,92295.64,Master’s Degree,2,9144,2996,41.35,70.93,China,22.23
Medical technical officer,Healthcare,Decreasing,high,73278.78,Bachelor’s Degree,15,3837,6813,59.65,79.7,Brazil,28.98
Clinical molecular geneticist,IT,Decreasing,high,46622.34,PhD,8,421,3091,74.83,28.53,Germany,70.78
Clinical embryologist,Healthcare,Increasing,high,112846.3,High School,18,1326,5076,1.7,89.51,Germany,24.07
Amenity horticulturist,Healthcare,Decreasing,high,68401.43,Associate Degree,5,1531,7948,84.2,95.73,UK,25.5
General practice doctor,Finance,Decreasing,high,121963.64,Master’s Degree,6,9580,5260,7.32,74.09,China,45.36
Plant breeder/geneticist,IT,Increasing,high,83271.51,Master’s Degree,15,8308,8389,4.97,62.7,China,79.75
Petroleum engineer,Entertainment,Increasing,high,37737.58,High School,18,5336,2120,87.7,21.43,UK,52.63
Artist,Retail,Decreasing,high,98732.55,Bachelor’s Degree,17,2571,5799,0.55,8.71,Canada,50.83
Broadcast engineer,Finance,Decreasing,high,55250.23,High School,11,928,5358,58.06,9.94,China,21.66
Cartographer,Retail,Increasing,high,128798.32,Associate Degree,7,256,9600,1.29,72.8,Brazil,40.6
Health promotion specialist,Manufacturing,Decreasing,high,59736.25,Master’s Degree,2,2855,5595,92.01,47.19,UK,20.87
Veterinary surgeon,Retail,Decreasing,high,56400.25,Bachelor’s Degree,16,7327,2576,86.87,30.03,India,57.79
"Accountant, chartered certified",IT,Increasing,high,82356.78,Associate Degree,3,3703,7649,49.29,72.01,UK,68.82
"Buyer, retail",Manufacturing,Decreasing,high,69805.77,PhD,15,4111,4476,39.81,96.48,Brazil,47.95
"Therapist, drama",Healthcare,Increasing,high,105843.63,PhD,5,1279,5302,93.92,92.82,Germany,71.44
Associate Professor,Finance,Decreasing,high,86399.81,Bachelor’s Degree,19,5883,4085,49.37,14.13,India,23.58
Minerals surveyor,Transportation,Decreasing,high,141220.27,Master’s Degree,11,2723,3228,88.15,90.08,China,75.03
"Social research officer, government",Healthcare,Increasing,high,34805.17,Associate Degree,8,2109,1725,36.11,33.83,USA,47.38
Art gallery manager,IT,Increasing,high,130007.92,High School,19,6364,1761,23.24,50.21,Germany,39.18
Dancer,Finance,Increasing,high,121053.9,Master’s Degree,9,1471,302,61.62,6.67,India,53.39
Sub,IT,Decreasing,high,53811.18,High School,8,9285,654,63.67,77.22,Canada,35.62
Food technologist,Healthcare,Increasing,high,35702.88,High School,14,5341,1613,90.47,90.99,Australia,70.85
Archivist,Healthcare,Decreasing,high,108282.31,Associate Degree,20,7473,7188,57.79,17.8,India,77.18
Education administrator,Education,Decreasing,high,127072.35,High School,11,8687,1407,61.91,5.05,Australia,60.64
Nature conservation officer,IT,Increasing,high,134135.65,Associate Degree,0,6312,9860,60.8,0.15,UK,23.94
Health visitor,Entertainment,Increasing,high,55355.84,PhD,11,8132,3030,46.81,42.31,India,49.34
Radiation protection practitioner,IT,Decreasing,high,95695.12,High School,0,1973,5026,49.72,69.0,UK,68.96
"Secretary, company",Retail,Decreasing,high,147984.83,High School,12,6045,9314,79.43,82.11,Germany,23.38
Occupational therapist,Entertainment,Increasing,high,128235.92,Bachelor’s Degree,16,7754,7812,0.37,9.55,USA,54.8
Stage manager,Finance,Increasing,high,66380.65,Master’s Degree,10,7430,4607,30.27,84.11,UK,53.57
Special educational needs teacher,Entertainment,Decreasing,high,117926.22,Bachelor’s Degree,10,6163,7239,81.58,33.37,China,72.94
Mudlogger,Finance,Decreasing,high,129621.02,PhD,3,8951,5780,49.18,86.34,Brazil,58.03
"Producer, radio",Manufacturing,Increasing,high,125526.37,PhD,5,9394,9160,77.6,36.24,Brazil,62.9
Environmental manager,Finance,Decreasing,high,144377.6,Bachelor’s Degree,6,4931,211,2.15,79.12,China,23.63
Wellsite geologist,Healthcare,Increasing,high,146061.5,High School,4,2216,4554,4.09,43.49,Germany,35.41
Sub,Transportation,Increasing,high,96683.58,Associate Degree,7,5839,7046,57.54,80.56,Germany,56.66
"Nurse, children's",Education,Decreasing,high,42464.77,Master’s Degree,11,2880,7851,39.22,95.75,UK,40.6
"Engineer, petroleum",IT,Decreasing,high,77187.01,Master’s Degree,20,8641,4277,74.17,20.85,Brazil,72.19
"Development worker, international aid",Healthcare,Decreasing,high,130128.39,High School,3,9790,2536,64.85,65.28,India,20.75
Industrial buyer,Retail,Increasing,high,75484.85,Master’s Degree,7,4828,1425,35.04,67.81,India,47.88
Travel agency manager,IT,Decreasing,high,44926.4,High School,16,3042,525,49.68,93.26,Australia,40.23
"Geologist, engineering",Transportation,Decreasing,high,92722.38,High School,14,9287,5170,50.38,85.73,USA,78.21
Television camera operator,Transportation,Increasing,high,84459.65,Bachelor’s Degree,4,6572,2419,9.1,58.89,Brazil,57.9
Market researcher,Manufacturing,Decreasing,high,38235.83,High School,10,5805,7025,13.48,31.55,UK,72.33
Public affairs consultant,IT,Decreasing,high,138508.85,Master’s Degree,2,677,8069,21.42,95.47,India,33.1
"Conservation officer, historic buildings",Transportation,Increasing,high,130592.02,Master’s Degree,17,5900,3823,77.71,30.96,Brazil,79.62
Television camera operator,Finance,Increasing,high,140771.67,Associate Degree,0,8803,8422,68.41,37.08,India,36.68
Psychotherapist,Entertainment,Decreasing,high,133472.65,Associate Degree,0,5255,2425,8.93,12.35,Brazil,63.45
"Surveyor, insurance",Retail,Increasing,high,80577.37,Bachelor’s Degree,18,5400,9325,81.37,12.35,USA,70.2
Analytical chemist,Manufacturing,Decreasing,high,60345.67,Bachelor’s Degree,14,1103,8456,30.08,20.97,India,61.42
Theme park manager,Manufacturing,Decreasing,high,110766.07,High School,16,6749,297,80.96,55.14,UK,40.85
"Accountant, chartered",Finance,Increasing,high,57858.47,Master’s Degree,12,8946,4393,87.4,96.98,India,40.45
Health and safety inspector,Education,Increasing,high,66827.52,Bachelor’s Degree,18,2188,7997,34.97,51.8,China,54.5
"Engineer, civil (contracting)",Healthcare,Decreasing,high,135051.53,Bachelor’s Degree,6,6151,1441,21.91,59.22,UK,51.86
Musician,Retail,Decreasing,high,72686.18,High School,18,7869,7029,4.15,45.04,India,34.09
Regulatory affairs officer,IT,Increasing,high,107542.25,High School,6,1117,3969,83.01,28.6,China,57.29
Media buyer,Entertainment,Decreasing,high,144144.96,Associate Degree,13,8650,1169,8.38,55.87,UK,26.86
Freight forwarder,Entertainment,Decreasing,high,123504.71,Bachelor’s Degree,2,9825,8024,65.08,51.96,Canada,50.14
Automotive engineer,Finance,Decreasing,high,145450.51,High School,13,2796,3459,59.7,81.26,China,30.57
Community pharmacist,IT,Increasing,high,37845.78,Master’s Degree,7,7104,5820,63.36,92.33,China,51.17
Publishing copy,Healthcare,Decreasing,high,66005.43,Bachelor’s Degree,6,178,6483,53.49,18.99,Canada,59.05
Chiropractor,Transportation,Increasing,high,83021.16,PhD,18,1519,1295,57.72,33.75,Canada,33.7
Corporate investment banker,Finance,Increasing,high,94681.23,PhD,18,3240,5094,99.88,33.47,Canada,24.91
Special educational needs teacher,Transportation,Decreasing,high,91675.25,Associate Degree,19,3168,356,94.07,99.02,India,73.34
Senior tax professional/tax inspector,IT,Decreasing,high,139297.16,Bachelor’s Degree,20,8938,7766,55.99,84.23,Australia,70.73
Product manager,Finance,Decreasing,high,108508.83,PhD,0,1449,8577,65.92,36.5,Australia,29.62
Commercial/residential surveyor,Retail,Decreasing,high,128196.85,PhD,11,4829,7422,82.06,57.14,China,61.84
"Scientist, audiological",IT,Decreasing,high,78102.46,Bachelor’s Degree,6,7560,5802,28.52,44.91,China,29.9
"Therapist, speech and language",Education,Increasing,high,139489.73,Associate Degree,14,9166,8857,5.2,29.84,Canada,47.03
Speech and language therapist,Retail,Increasing,high,129946.8,Associate Degree,2,7837,7773,34.23,80.88,USA,30.83
"Social research officer, government",Education,Increasing,high,37264.49,PhD,13,9305,8468,13.73,86.63,Germany,56.88
Public house manager,Transportation,Increasing,high,132257.14,Bachelor’s Degree,4,3203,1344,49.03,85.38,China,60.63
Prison officer,Education,Increasing,high,59917.55,Master’s Degree,4,230,2807,95.07,21.49,UK,56.59
Hospital doctor,Finance,Increasing,high,60061.73,High School,15,8262,2566,40.8,17.82,Australia,55.16
Games developer,Retail,Increasing,high,75713.34,High School,13,6330,518,54.43,97.45,Germany,68.91
Ship broker,IT,Increasing,high,97674.24,Bachelor’s Degree,13,6333,2216,92.93,38.9,Germany,56.03
Industrial/product designer,Finance,Increasing,high,36320.6,High School,12,2594,5623,10.6,5.01,UK,21.44
"Scientist, biomedical",Entertainment,Increasing,high,85298.4,Associate Degree,4,3946,7707,96.45,35.0,Canada,33.85
Soil scientist,Finance,Decreasing,high,47104.54,High School,12,8162,1020,43.28,68.17,USA,56.01
"Loss adjuster, chartered",Retail,Increasing,high,84797.82,Master’s Degree,10,634,1277,6.34,85.7,India,27.6
Primary school teacher,Education,Increasing,high,93323.86,Bachelor’s Degree,19,1896,7519,62.4,17.5,Germany,27.04
Social researcher,Healthcare,Increasing,high,69170.65,Associate Degree,15,2122,2406,51.1,81.32,Canada,50.14
Civil Service fast streamer,Entertainment,Decreasing,high,84547.72,Associate Degree,10,3342,9263,31.82,6.33,USA,64.54
"Engineer, manufacturing",Manufacturing,Decreasing,high,134512.64,Associate Degree,1,5012,9167,59.62,80.12,Brazil,27.03
"Teacher, adult education",Education,Increasing,high,127890.91,High School,2,1123,2489,37.16,27.28,Brazil,27.57
"Engineer, manufacturing",Manufacturing,Increasing,high,72979.51,High School,18,9334,2381,74.61,61.18,China,61.86
Warden/ranger,Finance,Increasing,high,74334.69,Associate Degree,13,4118,6178,50.52,32.02,India,36.28
"Accountant, chartered",Entertainment,Decreasing,high,104136.35,High School,17,643,4031,62.41,10.95,Canada,44.89
"Physicist, medical",Healthcare,Increasing,high,144536.1,Associate Degree,14,8606,9257,53.99,42.88,USA,73.59
Environmental education officer,Entertainment,Decreasing,high,82080.41,Master’s Degree,18,3714,6511,84.85,21.3,Germany,54.05
Ergonomist,Finance,Decreasing,high,123456.94,High School,1,8915,665,15.87,44.62,India,33.0
Food technologist,Healthcare,Decreasing,high,91103.31,Bachelor’s Degree,16,6060,8424,11.8,77.69,USA,35.57
Dentist,Manufacturing,Decreasing,high,117341.12,Bachelor’s Degree,9,8825,9685,70.23,27.33,USA,56.64
Dentist,Manufacturing,Increasing,high,48632.42,High School,4,1023,1931,18.29,1.83,Brazil,68.4
"Engineer, electrical",IT,Increasing,high,137348.66,PhD,8,4961,9023,95.83,9.96,Germany,31.37
Financial adviser,Healthcare,Decreasing,high,47278.44,High School,11,5371,341,23.63,40.19,Brazil,23.61
Medical technical officer,Healthcare,Decreasing,high,62680.98,Bachelor’s Degree,17,563,6810,16.3,78.5,UK,57.39
"Therapist, occupational",Finance,Decreasing,high,36497.6,Associate Degree,2,7393,8262,18.53,10.57,Canada,37.39
"Scientist, biomedical",Entertainment,Decreasing,high,64387.86,PhD,14,4275,2700,87.12,74.37,Brazil,70.17
Financial risk analyst,Manufacturing,Decreasing,high,88197.07,Associate Degree,10,4113,2182,28.99,41.89,USA,57.34
Accounting technician,Entertainment,Decreasing,high,75804.25,Bachelor’s Degree,15,4685,8736,86.09,92.08,Brazil,64.13
Museum/gallery exhibitions officer,Education,Decreasing,high,47032.52,PhD,12,5428,3004,10.24,19.64,China,54.85
Clothing/textile technologist,Retail,Decreasing,high,76017.3,Bachelor’s Degree,20,3508,9821,29.44,45.51,UK,56.72
Air broker,Finance,Decreasing,high,53515.59,High School,13,6853,4532,85.57,93.86,Germany,28.62
Forensic psychologist,Healthcare,Decreasing,high,117221.32,Master’s Degree,9,1449,5419,46.5,82.03,USA,47.22
IT sales professional,Education,Increasing,high,81393.87,Master’s Degree,6,5502,8401,58.7,4.79,Brazil,78.8
Field trials officer,Education,Decreasing,high,79548.29,Master’s Degree,2,4219,6220,46.88,51.22,China,59.24
Site engineer,Retail,Increasing,high,140946.55,Master’s Degree,18,8950,6252,87.54,41.99,USA,68.18
Translator,Entertainment,Decreasing,high,63441.35,High School,0,6917,7571,54.6,12.06,Germany,64.97
"Designer, interior/spatial",Transportation,Increasing,high,113832.71,Master’s Degree,8,5392,6918,88.63,25.6,Brazil,65.76
Pharmacologist,Healthcare,Decreasing,high,98680.36,Bachelor’s Degree,1,3337,3131,19.23,70.05,USA,29.75
Medical secretary,Retail,Increasing,high,74131.48,Bachelor’s Degree,1,5789,1787,74.84,52.38,Germany,53.96
Dramatherapist,Transportation,Decreasing,high,59220.26,Master’s Degree,14,5462,7573,99.94,6.15,USA,21.01
"Surveyor, building control",Manufacturing,Decreasing,high,67995.44,Master’s Degree,19,7857,4172,42.54,91.07,India,32.83
"Engineer, petroleum",Transportation,Decreasing,high,30488.59,Associate Degree,16,4196,7296,40.72,13.37,Australia,37.39
Hospital doctor,Manufacturing,Increasing,high,107596.42,PhD,13,5923,2546,89.7,33.38,Canada,55.19
Insurance claims handler,Finance,Decreasing,high,61509.61,High School,12,7734,4908,94.82,52.63,Canada,44.3
Adult nurse,Healthcare,Decreasing,high,120391.75,Master’s Degree,18,1981,9154,73.85,97.35,China,64.88
Tax inspector,Finance,Decreasing,high,46282.2,PhD,20,1384,2332,76.14,44.56,Brazil,38.59
"Conservation officer, historic buildings",Entertainment,Decreasing,high,119301.98,High School,3,5152,2019,72.54,16.2,India,50.09
Hotel manager,Manufacturing,Increasing,high,70502.57,Associate Degree,10,1576,9086,93.55,27.15,India,58.78
Insurance broker,Finance,Decreasing,high,149432.19,Master’s Degree,7,5527,2803,27.83,64.33,Germany,22.2
"Exhibitions officer, museum/gallery",Healthcare,Increasing,high,77020.37,Associate Degree,18,9781,6661,36.03,51.16,Canada,22.35
Water engineer,Healthcare,Increasing,high,122683.84,PhD,8,4126,2621,2.0,96.2,UK,29.79
Dietitian,Education,Increasing,high,63685.09,Associate Degree,18,7808,7908,24.79,20.65,Brazil,77.95
Civil Service administrator,Retail,Increasing,high,136789.29,Associate Degree,11,3595,6148,99.09,34.57,China,24.37
"Engineer, technical sales",Education,Decreasing,high,45427.41,Bachelor’s Degree,5,9749,3320,1.36,72.49,Brazil,58.87
Television/film/video producer,Finance,Decreasing,high,129824.76,High School,7,3409,3554,86.41,59.54,USA,27.36
Health and safety adviser,Healthcare,Decreasing,high,110361.86,PhD,6,1690,3103,44.46,34.58,Germany,78.41
"Psychologist, occupational",Finance,Increasing,high,56995.2,Master’s Degree,16,5411,785,63.9,8.39,China,63.02
"Development worker, international aid",Transportation,Decreasing,high,31429.03,High School,11,370,7616,39.69,79.08,Germany,22.45
"Programmer, systems",Entertainment,Increasing,high,50550.97,High School,3,4940,239,23.39,74.24,Canada,64.36
Animal technologist,Education,Decreasing,high,52437.32,High School,8,9648,8750,26.82,51.18,USA,64.55
"Optician, dispensing",Healthcare,Decreasing,high,56891.91,Master’s Degree,11,3926,3299,43.78,97.05,Germany,62.59
Astronomer,Entertainment,Increasing,high,34082.95,Bachelor’s Degree,14,6600,6032,38.46,15.72,Canada,29.76
Product manager,Retail,Increasing,high,114653.7,High School,0,6168,9423,84.57,37.52,India,56.71
Sports therapist,Education,Decreasing,high,78301.3,Master’s Degree,6,7747,4430,66.35,50.37,India,34.24
